linear_1.weight,linear_1.bias,linear_2.weight,linear_2.bias,linear_3.weight,linear_3.bias
-0.32918057,-0.41062137,-0.25652158,-0.116427146,0.33340368,-0.20229809
-0.21088858,0.45123264,0.22096929,0.76508474,1.1595497,0.07669191
-0.10702268,0.37491065,-0.010577314,-1.0225676,-0.006737351,0.27660552
0.15764323,-0.38592803,0.40310848,-0.052922014,-0.010765685,0.29021996
0.16939096,,-0.34625545,,0.26055247,0.05114244
-0.17884608,,-1.4553336,,-0.7412409,-0.15470572
0.13188873,,-0.8170132,,-1.6269246,
0.13180453,,-0.18776199,,-0.23141631,
-0.22261232,,0.360702,,0.09189783,
0.35671195,,-0.60910577,,0.02195683,
0.103883065,,-0.4713536,,-0.1252513,
0.21658802,,0.03508157,,-0.60857767,
0.46121013,,0.1418012,,0.054311186,
-0.37202466,,-0.045212153,,0.54421645,
0.12746507,,0.18052793,,-0.23994057,
0.054623097,,0.021623928,,-0.55408335,
0.11277569,,,,0.25355262,
-0.4922692,,,,-0.35192075,
0.43709072,,,,0.10030066,
-0.08760215,,,,-0.19959275,
-0.16130045,,,,0.31216705,
-0.085850514,,,,0.21218716,
0.007670323,,,,0.058745675,
0.005157754,,,,-0.013325982,
-0.13517627,,,,,
0.36696926,,,,,
-0.43231025,,,,,
0.17641023,,,,,
-0.1432932,,,,,
0.13013577,,,,,
0.05683451,,,,,
-0.11103465,,,,,
